2021-06-20 11:59:58,886 - run.py[line:53] - INFO: Loading data...
2021-06-20 12:00:14,478 - run.py[line:59] - INFO: Time usage:0:00:16
2021-06-20 12:00:19,315 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:53] - INFO: Epoch [1/3]
2021-06-20 12:00:25,807 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 10, train loss: 0.02134891226887703
2021-06-20 12:00:57,865 - run.py[line:53] - INFO: Loading data...
2021-06-20 12:03:22,552 - run.py[line:59] - INFO: Time usage:0:02:25
2021-06-20 12:03:27,334 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:53] - INFO: Epoch [1/3]
2021-06-20 12:03:33,873 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 10, train loss: 0.0939907431602478
2021-06-20 12:03:40,345 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 20, train loss: 0.08801282942295074
2021-06-20 12:03:46,899 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 30, train loss: 0.08240819722414017
2021-06-20 12:05:51,237 - run.py[line:53] - INFO: Loading data...
2021-06-20 12:08:04,825 - run.py[line:59] - INFO: Time usage:0:02:14
2021-06-20 12:08:09,086 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:53] - INFO: Epoch [1/3]
2021-06-20 12:08:15,609 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 10, train loss: 0.0939907431602478
2021-06-20 12:08:22,103 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 20, train loss: 0.08801282942295074
2021-06-20 12:08:28,597 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 30, train loss: 0.08240819722414017
2021-06-20 12:08:35,103 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 40, train loss: 0.0988665297627449
2021-06-20 12:08:41,626 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 50, train loss: 0.07461042702198029
2021-06-20 12:08:48,193 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 60, train loss: 0.04312228038907051
2021-06-20 12:08:54,831 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 70, train loss: 0.04785008728504181
2021-06-20 12:09:01,471 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 80, train loss: 0.06359004974365234
2021-06-20 12:09:08,071 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 90, train loss: 0.04141036048531532
2021-06-20 12:09:14,714 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 100, train loss: 0.04143821448087692
2021-06-20 12:09:21,302 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 110, train loss: 0.05106881260871887
2021-06-20 12:09:27,893 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 120, train loss: 0.04917427897453308
2021-06-20 12:09:34,476 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 130, train loss: 0.03769609332084656
2021-06-20 12:09:41,073 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 140, train loss: 0.029203113168478012
2021-06-20 12:09:47,664 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 150, train loss: 0.021174808964133263
2021-06-20 12:09:54,304 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 160, train loss: 0.025900376960635185
2021-06-20 12:10:00,909 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 170, train loss: 0.031487077474594116
2021-06-20 12:10:07,473 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 180, train loss: 0.030371390283107758
2021-06-20 12:10:14,102 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 190, train loss: 0.01116563193500042
2021-06-20 12:10:20,692 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 200, train loss: 0.013863579370081425
2021-06-20 12:10:27,291 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 210, train loss: 0.00998745858669281
2021-06-20 12:10:33,871 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 220, train loss: 0.014805836603045464
2021-06-20 12:10:40,478 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 230, train loss: 0.021566882729530334
2021-06-20 12:10:47,060 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 240, train loss: 0.021469436585903168
2021-06-20 12:10:53,637 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 250, train loss: 0.0182898361235857
2021-06-20 12:11:00,222 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 260, train loss: 0.02743593603372574
2021-06-20 12:11:06,800 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 270, train loss: 0.005890944041311741
2021-06-20 12:11:13,364 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 280, train loss: 0.030934054404497147
2021-06-20 12:11:19,941 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 290, train loss: 0.02769189327955246
2021-06-20 12:11:26,533 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 300, train loss: 0.008806352503597736
2021-06-20 12:11:33,100 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 310, train loss: 0.016252074390649796
2021-06-20 12:11:39,707 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 320, train loss: 0.00218234583735466
2021-06-20 12:11:46,294 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 330, train loss: 0.002219840418547392
2021-06-20 12:11:52,885 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 340, train loss: 0.005758951883763075
2021-06-20 12:11:59,442 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 350, train loss: 0.02605588361620903
2021-06-20 12:12:06,003 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 360, train loss: 0.010407489724457264
2021-06-20 12:12:12,589 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 370, train loss: 0.009696116670966148
2021-06-20 12:12:19,133 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 380, train loss: 0.005675770342350006
2021-06-20 12:12:25,722 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 390, train loss: 0.01017042063176632
2021-06-20 12:12:32,324 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 400, train loss: 0.01530054397881031
2021-06-20 12:12:38,900 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 410, train loss: 0.022262321785092354
2021-06-20 12:12:45,480 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 420, train loss: 0.009931052103638649
2021-06-20 12:12:52,062 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 430, train loss: 0.009924161247909069
2021-06-20 12:12:58,642 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 440, train loss: 0.0018458280246704817
2021-06-20 12:13:05,228 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 450, train loss: 0.0330100916326046
2021-06-20 12:13:11,782 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 460, train loss: 0.02515457756817341
2021-06-20 12:13:18,335 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 470, train loss: 0.007120152935385704
2021-06-20 12:13:24,927 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 480, train loss: 0.008771908469498158
2021-06-20 12:13:31,471 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 490, train loss: 0.011783917434513569
2021-06-20 12:13:38,067 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:103] - INFO: model evaluating
2021-06-20 12:15:02,248 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:121] - INFO: computing hitn
2021-06-20 12:15:03,102 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:80] - INFO: Iter: 500,  Train Loss: 0.01419663056731224,  Val Acc: 0.5599440055994394, Val score: 174.7507644464461, Time: 0:06:54 *
2021-06-20 12:15:09,620 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 510, train loss: 0.004739307798445225
2021-06-20 12:15:16,141 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 520, train loss: 0.02148309163749218
2021-06-20 12:15:22,689 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 530, train loss: 0.004489810671657324
2021-06-20 12:15:29,241 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 540, train loss: 0.009509224444627762
2021-06-20 12:15:35,852 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 550, train loss: 0.021891195327043533
2021-06-20 12:15:42,406 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 560, train loss: 0.02270975150167942
2021-06-20 12:15:48,989 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 570, train loss: 0.030640998855233192
2021-06-20 12:15:55,603 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 580, train loss: 0.018234234303236008
2021-06-20 12:16:02,167 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 590, train loss: 0.016418058425188065
2021-06-20 12:16:08,819 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 600, train loss: 0.001938952598720789
2021-06-20 12:16:15,560 - /home/users/liuhongli/Models/Bert-Chinese-Text-Classification-Pytorch/train_eval.py[line:67] - INFO: total_batch: 610, train loss: 0.03319443762302399
